datapoint_id,latitude,longitude,kab_rank,litter_count,date_taken
27,33.138404,-117.133426,1,0,2020-04-10
28,33.128989,-117.139082,1,2,2020-04-10
29,33.107626,-117.171682,2,3,2020-04-10
30,33.13939,-117.143225,1,1,2020-04-10
31,33.138861,-117.18027,1,0,2020-04-10
32,33.120714,-117.166082,1,1,2020-04-10
33,33.142516,-117.188855,1,1,2020-04-10
34,33.096589,-117.196622,1,0,2020-04-10
35,33.133511,-117.1875,1,0,2020-04-10
36,33.121095,-117.166206,1,0,2020-04-10
37,33.142093,-117.125183,1,0,2020-04-10
38,33.168423,-117.152649,1,0,2020-04-10
39,33.119578,-117.178454,1,0,2020-04-10
40,33.136634,-117.172582,1,0,2020-04-10
41,33.141864,-117.15817,1,1,2020-04-10
42,33.159253,-117.203276,1,1,2020-04-10
43,33.150955,-117.144033,1,1,2020-04-10
44,33.131353,-117.200883,1,0,2020-04-10
45,33.1198,-117.186207,1,2,2020-04-10
46,33.151904,-117.134465,1,0,2020-04-10
47,33.122085,-117.17085,1,0,2020-04-10
48,33.13034,-117.179673,1,2,2020-04-10
49,33.127474,-117.14539,1,0,2020-04-10
50,33.148586,-117.189339,1,0,2020-04-10
51,33.12976,-117.179391,1,2,2020-04-10
52,33.120035,-117.179014,1,2,2020-04-10
53,33.123634,-117.17569,1,2,2020-04-10
54,33.163731,-117.155332,1,0,2020-04-10
55,33.163559,-117.155121,1,0,2020-04-10
56,33.139803,-117.180995,2,3,2020-04-10
57,33.159924,-117.155067,1,1,2020-04-10
58,33.113162,-117.163787,1,0,2020-04-10
59,33.144183,-117.153049,1,2,2020-04-10
60,33.127379,-117.165225,1,0,2020-04-10
61,33.139122,-117.144138,1,1,2020-04-10
62,33.17172,-117.160604,1,0,2020-04-10
63,33.152835,-117.195759,1,0,2020-04-10
64,33.107209,-117.167043,2,3,2020-04-10
65,33.153763,-117.149307,1,1,2020-04-10
66,33.150817,-117.161753,1,1,2020-04-10
67,33.094707,-117.207831,1,0,2020-04-10
68,33.12711,-117.192657,1,0,2020-04-10
69,33.120121,-117.179039,1,2,2020-04-10
70,33.115499,-117.226464,1,1,2020-04-10
71,33.095602,-117.209186,1,0,2020-04-10
72,33.136991,-117.147753,1,0,2020-04-10
73,33.107218,-117.172919,1,0,2020-04-10
74,33.155948,-117.161091,1,0,2020-04-10
75,33.126095,-117.183052,1,0,2020-04-10
76,33.149746,-117.201027,1,1,2020-04-10
77,33.135525,-117.131264,1,0,2020-04-10
78,33.120894,-117.165701,1,1,2020-04-10
79,33.1366,-117.118621,1,1,2020-04-10
80,33.186857,-117.156481,1,0,2020-04-10
81,33.0977,-117.211401,1,1,2020-04-10
82,33.09185,-117.193062,1,2,2020-04-10
83,33.15328,-117.171595,1,0,2020-04-10
84,33.146736,-117.183228,1,1,2020-04-10
85,33.128571,-117.178207,3,7,2020-04-10
86,33.17252,-117.155617,1,0,2020-04-10
87,33.128601,-117.219177,1,0,2020-04-10
88,33.119554,-117.14664,1,2,2020-04-10
89,33.13813,-117.190433,1,1,2020-04-10
90,33.131272,-117.228203,1,0,2020-04-10
91,33.150786,-117.144281,1,0,2020-04-10
92,33.137404,-117.159992,1,1,2020-04-10
93,33.128361,-117.222481,1,0,2020-04-10
94,33.156841,-117.158524,1,2,2020-04-10
95,33.14601,-117.133764,1,1,2020-04-10
96,33.153104,-117.170838,1,0,2020-04-10
97,33.12247,-117.172558,1,2,2020-04-10
98,33.138405,-117.160004,1,0,2020-04-10
99,33.109032,-117.225254,1,1,2020-04-10
100,33.139331,-117.142849,2,3,2020-04-10
101,33.131534,-117.228278,1,0,2020-04-10
102,33.17202,-117.155586,1,0,2020-04-10
103,33.139305,-117.17809,1,0,2020-04-10
104,33.138252,-117.116678,1,0,2020-04-10
105,33.140712,-117.161672,1,0,2020-04-10
106,33.137011,-117.147768,1,0,2020-04-10
107,33.116264,-117.163362,1,0,2020-04-10
108,33.127271,-117.165242,1,0,2020-04-10
109,33.16959,-117.152962,1,0,2020-04-10
110,33.122813,-117.165905,1,0,2020-04-10
111,33.136017,-117.136274,1,0,2020-04-10
112,33.127245,-117.174026,1,0,2020-04-10
113,33.158424,-117.148102,1,0,2020-04-10
114,33.160555,-117.151513,1,2,2020-04-10
115,33.151073,-117.139877,1,0,2020-04-10
116,33.144136,-117.201397,1,0,2020-04-10
117,33.12159,-117.16629,1,1,2020-04-10
118,33.118629,-117.165043,1,0,2020-04-10
119,33.138994,-117.140812,1,1,2020-04-10
120,33.138859,-117.145592,1,0,2020-04-10
121,33.13139,-117.228263,1,0,2020-04-10
122,33.142555,-117.190399,1,0,2020-04-10
123,33.116634,-117.145203,1,2,2020-04-11
